0.1, 0.0998318, 0.0996463, 0.0995902, 0.099743, 0.099863, 0.0999302, 0.0999649, 0.0999825, 0.0999912, 0.0999956, 0.0999978, 0.0999989, 0.0999995, 0.0999997, 0.0999999, 0.0999999, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1
0, 0.000168154, 0.000353728, 0.000409779, 0.00025701, 0.00013695, 6.97735e-05, 3.50529e-05, 1.75302e-05, 8.75404e-06, 4.36942e-06, 2.18059e-06, 1.08819e-06, 5.43035e-07, 2.70988e-07, 1.3523e-07, 6.74829e-08, 3.36756e-08, 1.6805e-08, 8.3861e-09, 4.18492e-09, 2.08841e-09, 1.04131e-09, 5.18374e-10, 2.582e-10
0.7, 0.696481, 0.689132, 0.684482, 0.688452, 0.693562, 0.696546, 0.69817, 0.699053, 0.699519, 0.699758, 0.699879, 0.69994, 0.69997, 0.699985, 0.699992, 0.699996, 0.699998, 0.699999, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7
0, 0.00351901, 0.0108677, 0.0155179, 0.0115483, 0.00643848, 0.00345371, 0.00183013, 0.000947343, 0.000481022, 0.000241694, 0.000120894, 6.03705e-05, 3.01314e-05, 1.50367e-05, 7.50367e-06, 3.74449e-06, 1.86858e-06, 9.32467e-07, 4.65324e-07, 2.32211e-07, 1.15881e-07, 5.77799e-08, 2.87633e-08, 1.43268e-08
0.68, 0.677467, 0.545648, 0.254472, 0.0678514, 0.0516104, 0.0771623, 0.121154, 0.179968, 0.249823, 0.326779, 0.407858, 0.491188, 0.575694, 0.660717, 0.68, 0.68, 0.68, 0.68, 0.68, 0.68, 0.68, 0.68, 0.68, 0.68
0, 0.0025329, 0.134352, 0.425528, 0.612149, 0.62839, 0.602838, 0.558846, 0.500032, 0.430177, 0.353221, 0.272142, 0.188812, 0.104306, 0.0192831, 2.62394e-07, 1.30764e-07, 6.52107e-08, 3.25308e-08, 1.6231e-08, 8.09907e-09, 4.04153e-09, 2.01513e-09, 1.00313e-09, 4.99654e-10
0.26, 0.259897, 0.245094, 0.190374, 0.119608, 0.0831045, 0.0764541, 0.0856066, 0.104036, 0.127868, 0.153949, 0.179936, 0.204493, 0.227105, 0.247713, 0.258824, 0.259902, 0.259992, 0.259999, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26
0, 0.000102538, 0.0149062, 0.0696263, 0.140392, 0.176895, 0.183546, 0.174393, 0.155964, 0.132132, 0.106051, 0.0800641, 0.0555066, 0.0328953, 0.0122866, 0.00117578, 9.84568e-05, 8.23808e-06, 6.95862e-07, 6.2251e-08, 7.54953e-09, 1.65589e-09, 6.37204e-10, 2.78279e-10, 1.45267e-10
1.2873, 1.2873, 1.2873, 1.2873, 1.2873, 1.2873, 1.2873, 1.2873, 1.2873, 1.2873, 1.2873, 1.2873, 1.2873, 1.2873, 1.2873, 1.2873, 1.2873, 1.2873, 1.2873, 1.2873, 1.2873, 1.2873, 1.2873, 1.2873, 1.2873
0, 1.0483e-10, 4.85581e-08, 3.42747e-07, 6.35249e-07, 6.65378e-07, 5.20805e-07, 3.52978e-07, 2.19992e-07, 1.2889e-07, 7.15061e-08, 3.75558e-08, 1.84944e-08, 8.2896e-09, 3.09249e-09, 7.69828e-10, 1.53158e-10, 2.88453e-11, 5.3499e-12, 9.88064e-13, 1.83023e-13, 3.39265e-14, 5.83813e-15, 5.34875e-16, 6.93855e-17
1.1845, 1.18449, 1.18449, 1.18449, 1.18449, 1.1845, 1.1845, 1.1845, 1.1845, 1.1845, 1.1845, 1.1845, 1.1845, 1.1845, 1.1845, 1.1845, 1.1845, 1.1845, 1.1845, 1.1845, 1.1845, 1.1845, 1.1845, 1.1845, 1.1845
0, 9.22715e-06, 1.38317e-05, 1.1057e-05, 5.51771e-06, 2.75347e-06, 1.37405e-06, 6.85685e-07, 3.42174e-07, 1.70753e-07, 8.521e-08, 4.25219e-08, 2.12195e-08, 1.0589e-08, 5.28419e-09, 2.63694e-09, 1.3159e-09, 6.56666e-10, 3.27692e-10, 1.63527e-10, 8.16048e-11, 4.07234e-11, 2.03053e-11, 1.01082e-11, 5.03482e-12
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
