0.1, 0.0998318, 0.0996463, 0.0995367, 0.0994791, 0.0994499, 0.0996026, 0.0997813, 0.0998875, 0.0999433, 0.0999716, 0.0999858, 0.0999929, 0.0999965, 0.0999982, 0.0999991, 0.0999996, 0.0999998, 0.0999999, 0.0999999, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1
0, 0.000168154, 0.000353728, 0.000463338, 0.000520899, 0.000550109, 0.000397385, 0.000218671, 0.000112475, 5.66754e-05, 2.83708e-05, 1.41718e-05, 7.07424e-06, 3.53054e-06, 1.76187e-06, 8.79222e-07, 4.38754e-07, 2.18949e-07, 1.09261e-07, 5.45238e-08, 2.72087e-08, 1.35778e-08, 6.77567e-09, 3.38128e-09, 1.68732e-09, 8.41536e-10, 4.19404e-10, 2.08139e-10, 1.03351e-10
0.7, 0.696481, 0.689132, 0.683902, 0.683837, 0.687908, 0.690968, 0.693241, 0.695425, 0.697273, 0.698515, 0.69923, 0.69961, 0.699805, 0.699902, 0.699951, 0.699976, 0.699988, 0.699994, 0.699997, 0.699998, 0.699999, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7
0, 0.00351901, 0.0108677, 0.0160979, 0.0161635, 0.0120925, 0.00903245, 0.00675895, 0.0045748, 0.00272728, 0.00148507, 0.000769613, 0.00038974, 0.000195492, 9.77121e-05, 4.87819e-05, 2.43456e-05, 1.21492e-05, 6.06268e-06, 3.02541e-06, 1.50975e-06, 7.534e-07, 3.75965e-07, 1.87619e-07, 9.36254e-08, 4.66948e-08, 2.32717e-08, 1.15491e-08, 5.73466e-09
0.68, 0.677467, 0.545648, 0.252612, 0.0427908, 0.0257142, 0.0341742, 0.0465539, 0.0661576, 0.0986782, 0.146892, 0.209148, 0.281416, 0.359844, 0.441748, 0.525517, 0.610237, 0.68, 0.68, 0.68, 0.68, 0.68, 0.68, 0.68, 0.68, 0.68, 0.68, 0.68, 0.68
0, 0.0025329, 0.134352, 0.427388, 0.637209, 0.654286, 0.645826, 0.633446, 0.613842, 0.581322, 0.533108, 0.470852, 0.398584, 0.320156, 0.238252, 0.154483, 0.0697626, 4.25547e-07, 2.11895e-07, 1.05626e-07, 5.26811e-08, 2.6282e-08, 1.31136e-08, 6.54369e-09, 3.26531e-09, 1.62851e-09, 8.11609e-10, 4.02772e-10, 1.99995e-10
0.26, 0.259897, 0.245094, 0.190288, 0.114779, 0.0743536, 0.0631334, 0.062892, 0.0678164, 0.0775982, 0.0931535, 0.114217, 0.138937, 0.16491, 0.190258, 0.213975, 0.23573, 0.254916, 0.259571, 0.259964, 0.259997, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26
0, 0.000102538, 0.0149062, 0.0697122, 0.145221, 0.185646, 0.196867, 0.197108, 0.192184, 0.182402, 0.166846, 0.145783, 0.121063, 0.0950898, 0.069742, 0.0460255, 0.0242698, 0.00508434, 0.000429389, 3.59102e-05, 3.01129e-06, 2.57869e-07, 2.48669e-08, 3.79444e-09, 1.08445e-09, 4.41522e-10, 2.36851e-10, 1.10223e-10, 5.90491e-11
1.2873, 1.2873, 1.2873, 1.2873, 1.2873, 1.2873, 1.2873, 1.2873, 1.2873, 1.2873, 1.2873, 1.2873, 1.2873, 1.2873, 1.2873, 1.2873, 1.2873, 1.2873, 1.2873, 1.2873, 1.2873, 1.2873, 1.2873, 1.2873, 1.2873, 1.2873, 1.2873, 1.2873, 1.2873
0, 1.0483e-10, 4.85581e-08, 3.81467e-07, 1.06903e-06, 1.70096e-06, 1.61481e-06, 1.17136e-06, 7.82477e-07, 5.02411e-07, 3.11774e-07, 1.86002e-07, 1.0607e-07, 5.75655e-08, 2.95356e-08, 1.40881e-08, 5.96745e-09, 1.92899e-09, 4.21076e-10, 8.12198e-11, 1.51665e-11, 2.80595e-12, 5.18008e-13, 9.60288e-14, 1.77323e-14, 2.9343e-15, 4.62345e-16, -7.3573e-17, -3.81899e-17
1.1845, 1.18449, 1.18449, 1.18448, 1.18448, 1.18448, 1.18449, 1.1845, 1.1845, 1.1845, 1.1845, 1.1845, 1.1845, 1.1845, 1.1845, 1.1845, 1.1845, 1.1845, 1.1845, 1.1845, 1.1845, 1.1845, 1.1845, 1.1845, 1.1845, 1.1845, 1.1845, 1.1845, 1.1845
0, 9.22715e-06, 1.38317e-05, 1.61294e-05, 1.7276e-05, 1.78482e-05, 8.93365e-06, 4.45811e-06, 2.22471e-06, 1.11018e-06, 5.54008e-07, 2.76464e-07, 1.37962e-07, 6.88465e-08, 3.43561e-08, 1.71446e-08, 8.55556e-09, 4.26944e-09, 2.13055e-09, 1.0632e-09, 5.30562e-10, 2.64764e-10, 1.32124e-10, 6.59341e-11, 3.29024e-11, 1.64097e-11, 8.17827e-12, 4.05866e-12, 2.01531e-12
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
