0.1, 0.0829836, 0.0629969, 0.0555715, 0.0717477, 0.0852556, 0.0926932, 0.0964059, 0.0982259, 0.0991205, 0.0995627, 0.0997822, 0.0998914, 0.0999459, 0.099973, 0.0999865, 0.0999933, 0.0999966, 0.0999983, 0.0999992, 0.0999996, 0.0999998, 0.0999999, 0.0999999, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1
0, 0.0170164, 0.0370031, 0.0444285, 0.0282523, 0.0147444, 0.00730679, 0.00359411, 0.00177409, 0.000879462, 0.000437261, 0.000217779, 0.000108567, 5.41499e-05, 2.70151e-05, 1.34794e-05, 6.72613e-06, 3.35639e-06, 1.67489e-06, 8.35807e-07, 4.17087e-07, 2.08136e-07, 1.03865e-07, 5.18311e-08, 2.5865e-08, 1.29073e-08, 6.44105e-09, 3.21427e-09, 1.60409e-09, 8.00601e-10, 3.99533e-10, 1.99347e-10, 9.90881e-11, 4.87324e-11, 2.38359e-11
0.7, 0.515863, 0.663786, 0.692032, 0.6954, 0.694996, 0.693689, 0.692151, 0.69099, 0.690665, 0.691432, 0.693254, 0.695492, 0.69736, 0.698577, 0.699266, 0.699629, 0.699814, 0.699907, 0.699954, 0.699977, 0.699988, 0.699994, 0.699997, 0.699999, 0.699999, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7
0, 0.184137, 0.0362142, 0.00796803, 0.00460045, 0.00500368, 0.00631139, 0.00784908, 0.00901048, 0.00933466, 0.0085682, 0.0067461, 0.00450783, 0.00263975, 0.0014226, 0.000733777, 0.000370887, 0.000185904, 9.28969e-05, 4.63743e-05, 2.31435e-05, 1.15492e-05, 5.76328e-06, 2.876e-06, 1.43519e-06, 7.16193e-07, 3.57398e-07, 1.78352e-07, 8.90071e-08, 4.44233e-08, 2.21691e-08, 1.10613e-08, 5.49815e-09, 2.70404e-09, 1.32259e-09
0.68, 0.00145765, 0.0068444, 0.0275679, 0.0590838, 0.0801187, 0.0811336, 0.0663051, 0.049755, 0.0413374, 0.0411879, 0.0490137, 0.0675982, 0.100748, 0.149997, 0.213123, 0.285964, 0.364724, 0.446809, 0.530674, 0.61544, 0.68, 0.68, 0.68, 0.68, 0.68, 0.68, 0.68, 0.68, 0.68, 0.68, 0.68, 0.68, 0.68, 0.68
0, 0.678542, 0.673156, 0.652432, 0.620916, 0.599881, 0.598866, 0.613695, 0.630245, 0.638663, 0.638812, 0.630986, 0.612402, 0.579252, 0.530003, 0.466877, 0.394036, 0.315276, 0.233191, 0.149326, 0.06456, 4.04445e-07, 2.01409e-07, 1.00404e-07, 5.00781e-08, 2.49838e-08, 1.24659e-08, 6.22046e-09, 3.10424e-09, 1.5493e-09, 7.73159e-10, 3.85765e-10, 1.9175e-10, 9.4304e-11, 4.61257e-11
0.26, 0.153958, 0.0782655, 0.0604285, 0.0636284, 0.0728732, 0.078569, 0.0774773, 0.0719632, 0.0665834, 0.0638408, 0.064343, 0.0687868, 0.0784293, 0.0941975, 0.11555, 0.140451, 0.166462, 0.191749, 0.215359, 0.236997, 0.255625, 0.259631, 0.259969, 0.259997, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26
0, 0.106042, 0.181735, 0.199571, 0.196372, 0.187127, 0.181431, 0.182523, 0.188037, 0.193417, 0.196159, 0.195657, 0.191213, 0.181571, 0.165802, 0.14445, 0.119549, 0.0935375, 0.0682512, 0.0446415, 0.0230035, 0.00437492, 0.000368896, 3.08495e-05, 2.58818e-06, 2.22319e-07, 2.16148e-08, 3.36266e-09, 1.09171e-09, 5.77208e-10, 2.45903e-10, 1.1261e-10, 1.21897e-10, 7.68364e-11, 1.15833e-11
1.2873, 1.2873, 1.28728, 1.28727, 1.28728, 1.28729, 1.28729, 1.28729, 1.2873, 1.2873, 1.2873, 1.2873, 1.2873, 1.2873, 1.2873, 1.2873, 1.2873, 1.2873, 1.2873, 1.2873, 1.2873, 1.2873, 1.2873, 1.2873, 1.2873, 1.2873, 1.2873, 1.2873, 1.2873, 1.2873, 1.2873, 1.2873, 1.2873, 1.2873, 1.2873
0, 4.05206e-06, 1.85835e-05, 2.58135e-05, 2.04894e-05, 1.37591e-05, 8.86109e-06, 5.76778e-06, 3.85007e-06, 2.6028e-06, 1.7521e-06, 1.16448e-06, 7.60958e-07, 4.86127e-07, 3.01046e-07, 1.79185e-07, 1.01889e-07, 5.51135e-08, 2.81659e-08, 1.33597e-08, 5.60098e-09, 1.76329e-09, 3.79642e-10, 7.29801e-11, 1.36149e-11, 2.51828e-12, 4.64699e-13, 8.59314e-14, 1.62165e-14, 3.52661e-15, 6.79873e-16, 1.33716e-16, 2.61775e-17, 2.62304e-19, -5.64263e-18
