  i	        epsilon	     Acceptance rate	     seconds	       log(Z_tot)	     log(Var(Z_tot))	            log(Z_D)	       log(Var(Z_D))	            log(Z_L)	       log(Var(Z_L))	        log(Var_min)	           Delta_max	          Delta_LFNS	    sampling seconds
 92	        116.551	           0.0235018	       19.64	          209.783	             418.985	             104.309	             205.058	             209.783	             418.985	             414.985	             111.967	           -0.436163	                21.6
 93	        118.237	           0.0194024	       13.59	           209.68	             418.774	             105.725	              208.12	              209.68	             418.774	             414.789	             110.446	           -0.438873	               12.15
 94	        119.683	           0.0253614	        6.01	          209.574	             418.564	             107.167	             210.895	             209.574	             418.564	             414.589	             108.899	           -0.439608	                 6.3
 95	        121.265	           0.0255689	        8.12	          231.345	             462.701	             108.669	             213.868	             231.345	             462.701	             458.142	             129.584	           -0.102946	                9.41
 96	        122.947	           0.0293255	        4.83	           231.24	              462.49	             110.135	             216.941	              231.24	              462.49	             457.942	             128.012	           -0.103486	                5.47
 97	        124.543	           0.0323311	        4.27	          231.135	              462.28	             111.702	             219.935	             231.135	              462.28	             457.742	              126.34	           -0.104103	                4.73
 98	        126.381	           0.0174672	       16.24	           231.03	              462.07	             113.267	             223.331	              231.03	              462.07	             457.542	              124.67	           -0.104637	               12.25
 99	         127.85	           0.0275862	        9.87	          230.924	             461.859	             114.801	              226.18	             230.924	             461.859	             457.341	              123.03	           -0.105169	                9.81
100	        129.355	           0.0261917	         8.8	          230.823	             461.649	             116.246	             229.013	             230.823	             461.649	             457.148	              121.48	           -0.109368	                8.85
101	        130.988	           0.0228781	        9.93	          230.737	             461.439	             117.623	             231.938	             230.737	             461.439	             456.986	             119.998	           -0.131034	                9.34
102	        132.487	           0.0253485	        7.21	          230.631	             461.229	             119.152	             234.836	             230.631	             461.229	             456.785	             118.365	            -0.13157	                7.51
103	        134.334	           0.0272777	         6.8	          230.526	             461.019	              120.73	             238.166	             230.526	             461.019	             456.584	             116.681	           -0.132104	                7.25
104	        136.161	            0.035791	        4.82	          230.421	             460.808	             122.463	             241.663	             230.421	             460.808	             456.384	             114.843	           -0.132634	                4.97
105	        138.192	           0.0186428	       21.65	          231.881	             463.373	             124.223	             245.464	             231.881	             463.373	             459.313	             114.331	           -0.334914	               17.04
106	        139.634	           0.0255102	        4.96	          231.776	             463.163	             125.796	             248.252	             231.776	             463.163	             459.112	             112.652	           -0.335543	                4.86
107	        142.001	           0.0201776	        9.85	          241.146	             482.304	             127.774	             252.603	             241.146	             482.304	             477.863	              120.28	           -0.109063	                9.67
108	        144.346	           0.0187091	        7.31	          241.041	             482.093	             129.989	             257.093	             241.041	             482.093	             477.662	              117.96	           -0.109572	                6.26
109	        146.679	           0.0219443	        6.14	          248.531	             497.074	             132.156	             261.465	             248.531	             497.074	             492.652	             123.282	           -0.110622	                5.71
